Participant Number,trust_wo1,trust_wo2,trust_https1,trust_https2,trust_domain1,trust_domain2,trust_bias1,trust_bias2,trust_fame1,trust_fame2,trust_creden1,trust_creden2,trust_links1,trust_links2,trust_advol1,trust_advol2,trust_misad1,trust_misad2,trust_tone1,trust_tone2,trust_clickbait1,trust_clickbait2,trust_services1,trust_services2,trust_profit1,trust_profit2,domain1,domain2,https1,https2,creden1,creden2,acad_ref1,acad_ref2,ext_ads1,ext_ads2,visual_ads1,visual_ads2,promote1,promote2,hyperlinks1,hyperlinks2,non-profit1,non-profit2,for-profit1,for-profit2,bbc_cred1,bbc_cred2,chanty_cred1,chanty_cred2,cdc_cred1,cdc_cred2,nn1,nn2
1,3,5,2,2,4,4,4,4,5,4,3,4,4,4,5,4,5,4,4,4,5,4,4,5,4,5,4,4,1,2,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,1,1,3,3,1,1
2,4,5,3,3,5,4,3,5,1,3,2,4,5,5,5,5,5,5,4,4,5,5,5,5,3,5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,3,3,2,1
3,4,5,4,3,5,5,4,3,1,3,1,2,5,5,5,4,4,4,4,4,4,2,4,4,4,4,3,3,1,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,3,3,3,2,1
4,3,4,3,3,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5,3,4,4,3,2,2,4,4,4,4,4,2,3,3,4,4,4,4,4,4,4,4,3,3,2,1,3,3,1,1
5,4,4,4,4,3,4,3,4,3,4,2,4.5,4,5,4,5,4,4.5,3,4,4,5,4,4.5,3,4,3,4,3,4,3,4,3,4,2,3,3,3,2,4,3,4,3,4,3,4,2,3,1,1,2,3,1,1
6,4,5,3,4,4,5,4,4,4,5,2,5,4,5,4,5,4,5,4,4,4,4,4,5,3,5,2,2,1,2,2,3,3,3,2,3,2,3,3,3,3,3,2,3,2,3,3,3,2,1,3,3,1,1
7,2.5,4,4,4,5,5,4,4.5,4,5,1,4,4,5,4,5,5,5,4,4,5,4,5,5,3,4,2,2,1,2,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4,4,3,3,1,1,3,3,1,1
8,4,5,2,3,4,5,3,2,4,5,1,4,3,4,5,5,4,3,4,2,2,3,4,5,4,4,2,3,1,2,1,3,2,4,2,4,3,4,2,3,2,4,2,3,3,3,3,3,2,1,2,3,2,1
9,3,3,4,2,5,5,4,4,5,5,3,3,4,4,4,4,3,3,3,3,4,4,3,4,3,5,1,2,1,1,2,3,3,3,2,3,3,3,2,3,3,4,3,4,3,3,3,3,2,1,3,3,1,1
10,4,5,3,3,5,5,5,5,4,5,3,4,5,4,4,5,4,5,5,4,5,5,5,4,4,5,4,4,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,3,3,1,1
11,4,4,3,3,4,5,4,4,2,2,2,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,1,2,2,2,4,4,4,4,3,3,4,3,3,4,4,4,3,3,3,4,3,3,2,2,3,1,1,3
12,4,4,2,3,4,4,4,5,4,3,1,2,4,5,5,4,2,4,4,4,3,3,5,5,2,2,4,2,3,3,3,2,1,3,4,3,2,1,4,4,3,3,3,3,3,3,2,2,2,2,3,3,2,1
13,4,4,2,5,4,5,4,5,3,4,2,3,4,4,4,5,2,4,4,4,4,5,4,4,4,4,3,3,2,2,3,3,4,4,3,4,3,4,4,4,4,4,3,3,3,3,2,3,1,1,3,3,1,1
14,4,5,4,3,4,5,3,3,3,5,4.5,5,3,5,4,5,4,4,5,5,4,5,4,5,3,3,3,3,3,1,2,4,4,3,3,4,4,4,2,3,3,4,3,2,3,2,2,3,2,1,3,3,1,1
15,5,4,3,2,4,4,4,2,3,4,2,3,4,3,5,4,4,4,4,3,2,2,4,4,3,3,4,4,1,1,2,3,3,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,2,2,3,3,1,1
16,4.5,5,2.5,2,4,4,5,5,2,2,4,2,4,5,4,5,5,4,4,5,5,5,4,3,4,4,3,3,3,4,4,2,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,2,2,3,3,1,1
17,3,3,3,4,4,5,3,3,4,2,4,2,4,3,5,5,5,4,4,4,4,5,4,4,3,3,4,2,2,1,3,2,4,4,2,2,2,3,3,3,4,4,4,3,2,2,3,3,2,2,3,3,1,1
18,5,5,3,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,3,3,1,1
19,5,5,4,4,5,5,4,4,5,5,4,4,5,5,5,5,4,4,4,4,4,4,5,5,4,4,3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,1,1,3,3,1,1
20,3,4,4,3,3,5,4,5,2,4,2,4,3,5,4,5,3,4,4,4,5,4,3,5,4,5,3,4,2,3,3,4,3,4,3,3,2,2,3,4,2,3,3,4,3,4,3,3,1,1,3,3,2,1
